name,corps,city,zip,stage,last_survey,nps,title,employer,profession,lat,lon,new_city
Grace Isla,Greater Delta: Mississippi and Arkansas 2016,Helena AR,72342,Alumni,2017,4,Job Title,Employer,Full Time Grad Student,34.45788,-90.6207,Helena
Asher Jonathan,Greater Delta: Mississippi and Arkansas 2016,Greenwood MS,38930,Alumni,,8,Job Title,Employer,Education - pre-K-12 (working in a school),33.6288,-90.0956,Greenwood
Oliver Zoey,Baltimore 1992,Little Rock AR,72206,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.65062,-92.2759,Little Rock
Andrew Luke,Mississippi 2014,Earle AR,72331,Alumni,2017,7,Job Title,Employer,Education - Non-Profit,35.37643,-90.4809,Earle
Caleb Samantha,Greater Delta: Mississippi and Arkansas 2016,Indianola MS,38751,Alumni,2017,,Job Title,Employer,Education - pre-K-12 (working in a school),33.53483,-90.7077,Indianola
Skylar Mia,Mississippi Delta 2007,Centerton AR,72719,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),36.37022,-94.2942,Centerton
Aaliyah Bryson,Greater Delta: Mississippi and Arkansas 2016,Crossett AR,71635,Alumni,2015,8,Job Title,Employer,Education - pre-K-12 (working in a school),33.01085,-92.0362,Crossett
Paisley Quinn,Greater Delta: Mississippi and Arkansas 2016,Bentonville AR,72712,Alumni,2017,6,Job Title,Employer,Education - pre-K-12 (working in a school),36.22615,-94.1501,Bentonville
Ian Madeline,South Louisiana 2010,Little Rock AR,72202,Alumni,2017,2,Job Title,Employer,Education - pre-K-12 (working in a school),34.76594,-92.2213,Little Rock
Nathan Abigail,Mississippi 2015,Fayetteville AR,72701,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),35.87604,-94.0537,Fayetteville
Stella Elias,Jacksonville 2012,Jackson MS,39202,Alumni,2015,5,Job Title,Employer,Non-profit (Other),32.31304,-90.1515,Jackson
Madelyn Carson,Mississippi Delta 2009,Marks MS,38646,Alumni,2017,4,Job Title,Employer,Education - pre-K-12 (working in a school),34.2219,-90.3168,Marks
Camila Cora,Mississippi 2012,Little Rock AR,72227,Alumni,2017,7,Job Title,Employer,Community Organizing,34.77699,-92.3583,Little Rock
Christian Abigail,Greater New Orleans - Louisiana Delta 2013,Helena AR,72342,Alumni,2017,5,Job Title,Employer,Education - pre-K-12 (working in a charter network of 2+ campuses),34.38278,-90.6738,Helena
Eleanor Aubrey,Arkansas 2013,Olive Branch MS,38654,Alumni,,9,Job Title,Employer,Education - Non-Profit,34.89134,-89.7101,Olive Branch
Benjamin Leah,Arkansas 2014,Little Rock AR,72205,Alumni,2014,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.73869,-92.3723,Little Rock
Josiah Oliver,Memphis 2012,Little Rock AR,72202,Alumni,2017,,Job Title,Employer,Education - Non-Profit,34.74975,-92.2217,Little Rock
Charles Isla,Mississippi Delta 2007,Madison MS,39110,Alumni,2013,9,Job Title,Employer,Education - pre-K-12 (working in a school),32.56353,-90.1768,Madison
Isabella Emery,Arkansas 2014,Cleveland MS,38732,Alumni,2017,9,Job Title,Employer,Philanthropy,33.75867,-90.7043,Cleveland
Aurora Aaron,Mississippi Delta 2008,Fort Smith AR,72903,Alumni,2017,10,Job Title,Employer,Education - Non-Profit,35.32599,-94.3693,Fort Smith
Carson Aaron,Chicago 2007,Jackson MS,39202,Alumni,2016,8,Job Title,Employer,Full Time Grad Student,32.32271,-90.1538,Jackson
Owen Eliana,Mississippi 2012,Cleveland MS,38732,Alumni,2017,10,Job Title,Employer,Law / Legal Services (JD),33.74398,-90.7607,Cleveland
Audrey Harper,Mississippi 2012,Cammack Village AR,72207,Alumni,2013,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.78897,-92.3281,Little Rock
Michael Eva,Greater Delta: Mississippi and Arkansas 2016,Clarksdale MS,38645,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.19651,-90.5207,Lyon
Ryan John,Mississippi Delta 2009,Marks MS,38646,Alumni,2017,,Job Title,Employer,Education - pre-K-12 (working in a school),34.28345,-90.3012,Marks
John Everly,Houston 1999,Laurel MS,39443,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),31.88587,-89.1903,Laurel
Alexander Santiago,Mississippi Delta 2004,Jackson MS,39202,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),32.31489,-90.1814,Jackson
Daniel Kaylee,Mississippi 2015,Corinth MS,38834,Alumni,2016,9,Job Title,Employer,Consulting (other),34.8995,-88.5134,Corinth
Ava Serenity,Mississippi Delta 2011,Helena AR,72342,Alumni,2016,6,Job Title,Employer,Education - Non-Profit,34.34808,-90.5807,Helena
